"id_no","binomial","area","lotic","lentic","lentic_only","length","importance","marine","FoodTroph","foodtrophcat","climate_zone","code"
2940,"Enteromius eburneensis",51896.8510529882,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2942,"Pelvicachromis pulcher",185351.514130804,1,1,0,11," ",0,3.25,"Carni.",1,"LC"
2943,"Campylomormyrus mirus",251846.537035659,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2952,"Polypterus palmas",335492.518114498,1,1,0,35.2999992370605,"of no interest",0,2.91,"Carni.",1,"LC"
2954,"Malapterurus oguensis",149401.691714056,NA,NA,0,NA,NA,NA,NA,NA,1,"LC"
2956,"Ambassis dussumieri",48082.0342183909,1,1,0,10,"of no interest",1,NA,NA,3,"LC"
2965,"Maylandia pulpican",252.510198510948,NA,NA,0,NA,NA,NA,NA,NA,1,NA
2966,"Tetraodon mbu",708166.308978214,1,1,0,NA,NA,NA,NA,NA,1,"LC"
2970,"Benthochromis melanoides",33354.7184506497,0,1,1,18.2000007629395,"commercial",0,3.45,"Carni.",1,"LC"
2971,"Aulonocara hueseri",84.1614107759323,0,1,1,7.90000009536743,"commercial",0,3.5,"Carni.",1,"LC"
2974,"Microsynodontis lamberti",8174.39177136692,1,1,0,NA,NA,NA,NA,NA,1,"DD"
2977,"Hypsopanchax zebra",40898.022102634,1,0,0,NA,NA,NA,NA,NA,1,"LC"
2979,"Mastacembelus zebratus",33012.5919769452,0,1,1,NA,NA,NA,NA,NA,1,"LC"
2982,"Labeobarbus acuticeps",3525.05686230457,1,1,0,NA,NA,NA,NA,NA,1,"NT"
2984,"Neolamprologus modestus",34890.675799273,0,1,1,12,"commercial",0,3.52,"Carni.",1,"LC"
